Date,Description,Type,Cost,Timestamp,Email Address,,,https://docs.google.com/forms/d/e/1FAIpQLSe1VI2A82N_6THPd41tj_MbV_s7V4pHgDXPcsGrTBWMUSl3zg/viewform
11/14/2023,Gas Bill,home,38.19,11/14/2023 8:57:45,,,,
11/12/2023,badminton,beauty,53.3,11/12/2023 14:48:17,,,,
11/12/2023,chips,food,2.56,11/12/2023 16:11:51,,,,
11/11/2023,badminton,beauty,1.5,11/11/2023 14:56:31,,,,
11/10/2023,canpus food,food,9.24,11/10/2023 14:59:53,,,,
11/10/2023,chips,food,6.17,11/10/2023 20:36:35,,,,
11/10/2023,xfinity bill,home,22.5,11/10/2023 20:59:07,,,,
11/9/2023,walmart,food,46.08,11/10/2023 20:53:49,,,,
11/8/2023,panda express,food,8.59,11/8/2023 14:24:28,,,,
11/8/2023,chips,food,2.56,11/8/2023 21:32:16,,,,
11/7/2023,chips,food,2.56,11/8/2023 6:46:41,,,,
11/6/2023,google fi,tech,27.42,11/6/2023 12:30:42,,,,
11/5/2023,badminton,beauty,2,11/5/2023 15:16:58,,,,
11/4/2023,Instacart Beef,food,30.53,11/4/2023 10:20:33,,,,
11/4/2023,walmart grocery,food,19.02,11/4/2023 10:20:58,,,,
11/4/2023,chips,food,2.56,11/4/2023 22:04:09,,,,
11/3/2023,campus food,food,9.24,11/3/2023 14:47:21,,,,
11/2/2023,walmart grocery,food,20.27,11/2/2023 22:49:07,,,,
11/2/2023,walmart chair table,home,33.855,11/2/2023 23:14:19,,,,
11/2/2023,Amazon tripod,tech,26.93,11/2/2023 23:15:47,,,,
11/1/2023,campus food,food,9.02,11/1/2023 9:39:35,,,,
11/1/2023,Walmart grocery,food,65.59,11/1/2023 13:48:25,,,,
10/31/2023,Reimbursement loss from stacey,waste,2.34,10/31/2023 14:30:31,,,,
10/31/2023,bd association annual fee,friend,7,11/7/2023 14:52:17,,,,
10/30/2023,salad,food,10.89,10/30/2023 10:34:30,,,,
10/29/2023,sprite,food,10.8,10/29/2023 20:34:30,,,,
10/28/2023,bkash mobile recharge,wife,20,10/28/2023 11:52:57,,,,
10/27/2023,walmart,food,2.04,10/27/2023 22:25:53,,,,
10/27/2023,walmart,food,14.07,10/27/2023 22:26:12,,,,
11/14/2023,Cold coffee from vending machine,food,3.5,11/14/2023 13:50:42,,,,
11/15/2023,walmart,food,43.13,11/15/2023 22:53:13,,,,
11/15/2023,walmart battery and lotion,beauty,13.73,11/15/2023 22:53:58,,,,
11/16/2023,Badminton,beauty,1,11/16/2023 20:18:13,,,,
11/16/2023,chips,food,2.56,11/17/2023 10:49:11,,,,
