time,description,type,amount
5 Sep 2023,phd salary,job,1271.13
18 Sep 2023,phd salary,job,1271.13
6 Oct 2023,phd salary,job,1427.04
20 Oct 2023,phd salary,job,1427.04
2 Nov 2023,phd salary,job,1427.04
22 Nov 2023,phd salary,job,1427.04
7 Dec 2023,phd salary,job,1427.04
22 Dec 2023,phd salary,job,1357.11
5 Jan 2024,phd salary,job,1427.04
25 Dec 2023,khalamuni,gift,200
25 Dec 2023,Taaha Abbu Gift,gift,911.6601331
21 Jan 2024,phd salary,job,1427.04
7 Feb 2024,phd salary,job,1427.04
20 Feb 2024,phd salary,job,1427.04
6 Mar 2024,phd salary,job,1427.04
19 Mar 2024,phd salary,job,1357.61
3 April 2024,phd salary,job,1202.38
19 April 2024,phd salary,job,1202.38
7 May 2024,phd salary,job,1202.38
20 May 2024,phd salary,job,1202.38
7 June 2024,phd salary,job,1202.38
21 June 2024,phd salary,job,1205.09
5 July 2024,phd salary,job,1205.09
22 July 2024,phd salary,job,1234.4
7 August 2024,phd salary,job,1234.4
22 August 2024,phd salary,job,1234.4
6 September 2024,phd salary,job,1234.4
20 September 2024,phd salary,job,1234.4
7 October 2024,phd salary,job,1234.4
21 October 2024,phd salary,job,1234.4
7 November 2024,phd salary,job,1234.4
22 November 2024,phd salary,job,1234.4
25 November,ma baba food,family,200
6 December 2024,phd salary,job,1234.4
20 December 2024,phd salary,job,1234.4
7 January 2025,phd salary,job,1462.71
22 January 2025,phd salary,job,1462.71
7 February 2025,phd salary,job,1462.71
21 February 2025,phd salary,job,1462.71
7 March 2025,phd salary,job,1462.71
21 March 2025,phd salary,job,1357.2
7 April 2025,phd salary,job,1234.67
22 April 2025,phd salary,job,1234.67
7 May 2025,phd salary,job,1234.67
22 May 2025,phd salary,job,1234.67
6 June 2025,phd salary,job,1234.67
20 June 2025,phd salary,job,1235.97
7 July 2025,phd salary,job,1235.97
22 July 2025,phd salary,job,1265.8
22 August 2025,phd salary,job,1265.8
7 August 2025,phd salary,job,1265.8
22 September 2025,phd salary,job,1265.8
7 September 2025,phd salary,job,1265.8
7 October 2025,phd salary,job,1265.8
22 October 2025,phd salary,job,1265.8
