profile,occurred_at,amount_minor,currency,type,tags,note,created_at,updated_at
Personal,2001-11-25T07:00:00.000Z,20000,USD,income,family,ma baba food,2001-11-25T07:00:00.000Z,2001-11-25T07:00:00.000Z
Personal,2023-09-01T06:00:00.000Z,350,USD,expense,friend,picckle ball bat sport center,2023-09-01T06:00:00.000Z,2023-09-01T06:00:00.000Z
Personal,2023-09-01T06:00:00.000Z,1500,USD,expense,beauty,shopping,2023-09-01T06:00:00.000Z,2023-09-01T06:00:00.000Z
Personal,2023-09-01T06:00:00.000Z,524,USD,expense,beauty,swimming shorts,2023-09-01T06:00:00.000Z,2023-09-01T06:00:00.000Z
Personal,2023-09-02T06:00:00.000Z,6996,USD,expense,food,smith's shopping,2023-09-02T06:00:00.000Z,2023-09-02T06:00:00.000Z
Personal,2023-09-02T06:00:00.000Z,10,USD,expense,waste,gcp,2023-09-02T06:00:00.000Z,2023-09-02T06:00:00.000Z
Personal,2023-09-03T06:00:00.000Z,1073,USD,expense,tech,google fi sim,2023-09-03T06:00:00.000Z,2023-09-03T06:00:00.000Z
Personal,2023-09-05T06:00:00.000Z,200,USD,expense,food,chips,2023-09-05T06:00:00.000Z,2023-09-05T06:00:00.000Z
Personal,2023-09-05T06:00:00.000Z,127113,USD,income,job,phd salary,2023-09-05T06:00:00.000Z,2023-09-05T06:00:00.000Z
Personal,2023-09-06T06:00:00.000Z,1022,USD,expense,food,campus food,2023-09-06T06:00:00.000Z,2023-09-06T06:00:00.000Z
Personal,2023-09-07T06:00:00.000Z,410,USD,expense,food,food,2023-09-07T06:00:00.000Z,2023-09-07T06:00:00.000Z
Personal,2023-09-07T06:00:00.000Z,1659,USD,expense,tech,domain purchase,2023-09-07T06:00:00.000Z,2023-09-07T06:00:00.000Z
Personal,2023-09-07T06:00:00.000Z,1998,USD,expense,home,xfinity,2023-09-07T06:00:00.000Z,2023-09-07T06:00:00.000Z
Personal,2023-09-10T06:00:00.000Z,100,USD,expense,friend,raffle draw,2023-09-10T06:00:00.000Z,2023-09-10T06:00:00.000Z
Personal,2023-09-11T06:00:00.000Z,888,USD,expense,food,campus food,2023-09-11T06:00:00.000Z,2023-09-11T06:00:00.000Z
Personal,2023-09-12T06:00:00.000Z,225,USD,expense,food,chips,2023-09-12T06:00:00.000Z,2023-09-12T06:00:00.000Z
